Am`1
And`40
Are`5
Arise`1
As`3
Ask`1
At`2
Aye,`1
Bah!`1
Better`1
bully`3
bully`2
but`11
but`6
but`3
By`3
Can`1
Can't`1
Certainly,`1
Civilized`1
Coal`1
Come`3
Come!`4
Come,`6
De`2
Dead!`1
Defects,`1
Did`3
Do`18
Don't`1
Don't,`1
