 "'After`1
 "'My`1
 "'Tis`2
 "A`8
 "About`2
 "Ah!"`1
 "Ah!`1
 "Ah,`1
 "All!`1
 "All`2
 "Already`1
 "An`3
 "And`56
 "Another`1
 "Are`7
 "As`4
 "At`3
 "Aye,`4
 "Aye--because`1
 "Aye--that`1
 "Be`1
 "Because`2
 "Believe`2
 "Beyond`1
 "Bingley."`1
 "Blame`1
 "Books--oh!`1
 "Both,"`1
 "But,"`1
 "But,`4
 "But`39
 "By`3
 "CAROLINE`1
 "Can`5
 "Care`1
 "Caroline`1
 "Certainly,"`2
 "Certainly,`2
 "Certainly.`1
 "Certainly`2
 "Colonel`1
 "Come,`2
 "Come`1
 "Compared`1
 "Complied`1
 "Could`2
 "DEAR`1
 "Dear`4
 "Dearest`1
 "Depend`1
 "Design!`1
 "Did`6
 "Dining`1
 "Do`13
 "Does`1
 "Don't`1
 "E.`1
 "EDW.`1
 "Elizabeth,`1
 "Elizabeth`1
 "Engaged`1
 "Every`1
 "Exceed`1
 "Exceedingly`1
 "Except,"`1
 "FITZWILLIAM`1
 "For`4
 "From`5
 "Go,`1
 "Good`9
 "Gracechurch`2
 "Had`1
 "Has`2
 "Hate`1
 "Have`3
 "Haye`1
 "He`17
 "Heaven`1
 "Her`2
 "His`6
 "How`20
 "Hunsford,`1
 "I`213
 "If!`1
 "If,`1
 "If`25
 "Impossible,`1
 "In`9
 "Indeed!"`2
 "Indeed,"`1
 "Indeed,`7
 "Indeed`5
 "Insolent`1
 "Is`9
 "It`40
 "Jane,`1
 "Just`1
 "Kitty`1
 "LYDIA`1
 "La!"`1
 "La!`2
 "Lady`4
 "Laugh`1
 "Let`5
 "Lizzy,"`3
 "Lizzy,`5
 "Lydia`1
 "M.`1
 "MY`7
 "Mamma,"`1
 "Mary`1
 "May`4
 "Merely`1
 "Miss`11
 "Money!`1
 "Most`1
 "Mr.`12
 "Mrs.`1
 "Much`1
 "My`38
 "Nay,"`2
 "Nay,`1
 "Nearly`1
 "Neglect!`1
 "Neither`1
 "Never,`1
 "Next`1
 "No,"`4
 "No,`15
 "No--I`2
 "No--why`1
 "No;`3
 "No`4
 "None`1
 "Nor`1
 "Not,`1
 "Not`11
 "Nothing`3
 "Now,"`1
 "Now,`1
 "Now`2
 "Obstinate,`1
 "Of`4
 "Oh!"`4
 "Oh!`35
 "Oh,`15
