"'After`1
"'My`1
"'Tis`2
"A`12
"About`2
"Ah!"`1
"Ah!`2
"Ah,`1
"All!`1
"All`2
"Already`1
"An`3
"And`62
"Another`1
"Are`7
"As`5
"At`3
"Aye,`4
"Aye--because`1
"Aye--that`1
"Be`1
"Because`2
"Believe`2
"Beyond`1
"Bingley."`1
"Blame`1
"Books--oh!`1
"Both,"`1
"But,"`1
"But,`4
"But`49
"By`3
"CAROLINE`1
"Can`7
"Care`1
"Caroline`1
"Certainly,"`2
"Certainly,`2
"Certainly.`1
"Certainly`2
"Charles`1
"Colonel`1
"Come,`2
"Come`2
"Compared`1
"Complied`1
"Could`2
"DEAR`1
"Dear`4
"Dearest`1
"Defects,"`1
"Depend`1
"Design!`1
"Did`7
"Dining`1
"Do`14
"Does`1
"Don't`1
"E.`1
"EDW.`1
"Elizabeth,`1
"Elizabeth`1
"Engaged`1
"Every`1
"Exceed`1
"Exceedingly`1
"Except,"`1
"Excuse`1
"FITZWILLIAM`1
"Far`1
"For`4
"From`5
"Go,`1
"Go`1
"Good`9
"Gracechurch`2
"Had`1
"Has`2
"Hate`1
"Have`3
"Haye`1
"He`22
"Heaven`1
"Her`2
"His`6
"How`26
"Hunsford,"`1
"Hunsford,`1
"I,`1
"I`296
"If!`1
"If,`1
"If`29
"Implacable`1
"Impossible,`1
"In`10
"Indeed!"`2
"Indeed,"`1
"Indeed,`7
"Indeed`5
"Information`1
"Insolent`1
"Is`12
"It`48
"Jane,`1
"John`1
"Just`1
"Kitty`2
"LYDIA`1
"La!"`1
"La!`2
"Lady`5
"Laugh`1
"Let`6
"Lizzy,"`4
"Lizzy,`6
"Lizzy`1
"Lord,`1
"Louisa,`1
"Lydia`1
"M.`1
"MY`7
"Mamma,"`1
"Mary`1
"May`4
"Merely`1
"Miss`11
"Money!`1
"Most`1
"Mr.`15
"Mrs.`5
"Much`1
"My`41
"Nay,"`2
"Nay,`1
"Nearly`1
"Neglect!`1
"Neither`1
"Never,`1
"Next`1
"No,"`4
"No,`15
"No--I`2
"No--why`1
"No;`3
"No`4
"None`1
"Nonsense,`1
"Nor`1
"Not,`1
"Not`11
