!`8
"$200`1
"'Deed,`1
"'Deed`1
"'Doan'`1
"'Fraid`1
"'I`1
"'Nough!--I`1
"'Shet`1
"'TIS`1
"'Tis`1
"'terpret"`1
"--SAID`1
"--and`1
"--they`1
"A`10
"Ah,`1
"Ain't`2
"Alas!"`2
"Alas,`2
"All`24
"An'`1
"And`8
"Another`1
"Any`1
"Are`1
"Back,`1
"Bang!"`2
"Be`1
"Because`6
"Begone`1
"Behind`1
"Betsy"`1
"Bilgewater,`2
"Blame`5
"Blamed`2
"Bless`1
"Boggs!"`2
"Borrow`1
"Boy,`2
"Bridgewater,"`1
"Broke`1
"Brought`1
"Buck"`1
"Buck`1
"Bulrushers"`2
"But,`3
"But`30
"By`3
"COME`1
"Cain't;`1
"Cairo?`1
"Call`1
"Can't`1
"Can`1
"Cert'nly.`1
"Clah`1
"Cler`2
"Come,`1
"Come`3
"Coming`1
"Confound`1
"Couldn't`1
"Course."`1
"Courting`1
"Cuss`1
"Dad`1
"Dah's`1
"Dah,`1
"Dah`2
"Dat's`1
"De`2
"Defects,"`1
"Deffisit"`1
"Den`1
"Dern`2
"Did`7
"Didn't`2
"Do`4
"Doan'`3
"Does`2
"Don't`21
"Down`1
"Doxologer."--Awful`1
"Drinkin'?`1
"Drot`1
"Dry`1
"Easy!"`1
"Easy`1
"Edwin`1
"En`2
"Everything's`1
"For`4
"Four`1
"French,`1
"Friends`1
"Funeral`1
"G-e-o-r-g-e`1
"GIT`1
"Geewhillikins,"`1
"Gentlemen,"`1
"Gentlemen,`2
"Gentlemen--gentle_men!_`1
"George`3
"Get?"`1
"Gets`1
"Gimme`4
"Git`3
"Give`1
"Glory!--A-a-_men_!"`1
"Go`2
"Gone`2
"Goo-goo--goo-goo-goo"`1
"Good!"`1
"Good!`1
"Good,"`1
"Good-_ness_`1
"Good-bye,`1
"Good`6
"Goodness`2
"Goodnessgracioussakes,`1
"Goshen,`1
"Great`2
"Greenhorns,`1
"HALF-PAST`1
"HOW`1
"Hamlet's`2
"Hand`1
"Hang`1
"Harem."`1
"Has`4
"Have`2
"He's`3
"He`7
"Heave`1
"Hel-_lo_!`1
"Hel-_lo_,`1
"Hello!--why,`1
"Hello!`1
"Hello,`5
"Here's`2
"Here,`1
"Here--come`1
"Here`5
"Hi!--hi!"`1
"Hi!`1
"Him?`1
"Him`1
"His'n?`1
"Hm!`1
"Hold!`1
"Hold`8
"Honest,`1
"Honest`3
"Honey,`1
"Honor`2
"Hooray!"`1
"How'd`2
"How'm`1
"How's`1
"How`12
"Huck,`1
"Huck--Huck`1
"Huck`1
"Hump`1
"Hungry,`1
"Hurry!`1
"I'M`1
"I'd`2
"I'll`12
"I'm`10
"I've`4
"I`106
"If`8
"In`3
"Information`1
"Is`6
"It's`26
"It`17
"Jim!"`3
"Jim's`1
"Jim,`2
"Jim`3
"Jour`1
"Journal`1
"Just`2
"Keep`3
"Kill`1
"Kin`1
"Knock`1
"Laws,`1
"Laws`2
"Lay`1
"Le's`1
"Leastways,`1
"Leave`1
"Leggo`1
"Let`2
"Like`1
"Listen`1
"Lize,`1
"Look`5
"Looky`6
"M--Mary`1
"Many`1
"Mars`2
"Mary`1
"Maybe`4
"Meat`1
"Meddling`1
"Mercy`1
"Mf!`2
"Mighty`1
"Miss`3
"Missus,"`1
"Missus,`2
"Mister,`1
"Most`1
"Mr.`2
"Mumps."`1
"Mumps`1
"Must`1
"My`8
"Neighbors,`1
"Nemmine`1
"Never`4
"No!--is`1
"No!`3
"No'm,`2
"No'm."`1
"No'm.`2
"No,"`7
"No,`38
"No--is`1
"No--leastways,`1
"No--not`1
"No."`2
"No.`3
"No;`4
"No?"`1
"No`3
"Nobody."`1
"Nobody`1
"None`3
"Nor`2
"North`1
"Not`4
"Noth'n."`1
"Nothing`1
"Now,"`2
"Now,`5
"Now`5
"Nuffn`1
"O`1
"Of`2
"Oh!`1
"Oh,"`3
"Oh,`52
"Oho-o!`1
"Old`1
"On`3
"One`1
"Only`2
"Ouch!"`1
"Our`2
"Out`1
"Pa,`1
"Pap"`2
"Pap'll`1
"Pap,`1
"People`1
"Perhaps`1
"Phelps's`1
"Pike`1
"Plain`2
"Please`3
"Po'`2
"Poor`3
"Pooty`1
"Preacher`1
"Project`5
"Quick!`1
"Quick,`2
"Quick`1
"Ransomed?`1
"Ready?"`1
"Right`2
"Roun'`1
"Run`1
"S'pose`1
"Said`1
"Sakes`1
"Sarah`1
"Say,"`1
"Say,`5
"Say`1
"Seein'`1
"Set`3
"Seventeen!`1
"Sh!"`1
"Shall`1
"She'll`1
"She`4
"Shucks!"`3
"Shucks,`5
"Sid";`1
"Sid,"`1
"Signing`1
"Since`1
"Singular`1
"Smouch`1
"Snatch`1
"So'm`1
"So`7
"Sold!"`1
"Sollermun"`1
"Somebody`1
"Something`1
"Stand`2
"Starchy`1
"Stern`1
"Stop`1
"Strawberries`1
"Stuff!"`1
"Stuff!`1
"Such`1
"THEY`1
"Take`6
"Tear`1
"That's`6
"That`7
"The`24
"Then`1
"Ther's`1
"There's`1
"There,`2
"There--you've`1
"There;`2
"There`1
"They're--they're--are`1
"They're`2
"They`5
"This`2
"Three`1
"Till`1
"To`3
"Tom,`3
"Too`2
"Tools?"`1
"Tools`1
"Tramp--tramp--tramp;`1
"Trouble`1
"True`1
"Tryin'`1
"Turtle`1
"Twinkle,`1
"Uglification,"'`1
"Uneasy!"`1
"Up`1
"Wait`1
"Walk`1
"Want`1
"Wants`1
"Warnings`1
"Was`4
"Watchman`1
"We'll`1
"We's`1
"We`8
"Well,"`15
