 "'See,`1
 "'Twas`1
 "A`2
 "About`2
 "After`1
 "Ah,`2
 "Ah`2
 "Ahoy`1
 "All`3
 "And,`2
 "And`1
 "Animal?"`1
 "Are`10
 "As`3
 "At`2
 "Avast,`1
 "Avast`1
 "Ay,"`4
 "Ay,`13
 "Ay."`1
 "Bad`2
 "Barbecue,`1
 "Because`2
 "Before`1
 "Besides,"`2
 "Better`2
 "Bill`1
 "Blackbeard`1
 "Boat`1
 "Both`1
 "Boy,"`2
 "Boy."`1
 "Boy?"`1
 "Boy`2
 "Brimstone`2
 "Bring`1
 "Build`1
 "But,`5
 "But`2
 "By`1
 "Can't`1
 "Can`1
 "Captain,"`1
 "Captain,`3
 "Cave,`1
 "Cecco,"`1
 "Certainly,"`1
 "Certainly`1
 "Children,`1
 "Claws!"`1
 "Come,`1
 "Come`1
 "Curly,"`1
 "Curly`1
 "Cut`1
 "Dance`1
 "Dark`1
 "Dear`2
 "Descendants`1
 "Did`4
 "Dive!"`1
 "Do`1
 "Does`1
 "Don't`7
 "Down,`1
 "Ever`1
 "Fame,`1
 "Father!"`1
 "Father's`1
 "Father,`1
 "Father`1
 "Fetch`1
 "Five."`1
 "Fling`1
 "For`2
 "Four,"`1
 "Free!"`1
 "Full`1
 "Funny!"`1
 "George!"`1
 "George,"`1
 "George,`3
 "Get`1
 "Girl."`1
 "Good-bye,"`1
 "Great`1
 "Had`1
 "Have`2
 "He's`1
 "He`10
 "Help,`1
 "Her`1
 "Hide`2
 "His`1
 "Hold`1
 "Hook,"`2
 "Hook."`1
 "How`8
 "Hullo,"`3
 "Hullo,`6
 "Hush.`1
 "I'll`5
 "I'm`5
 "I've`1
 "I--want--you--"`1
 "I--want--you--to--get--into--the--nest,"`1
 "I`4
 "If`2
 "In`3
 "Is`1
 "It's`1
 "It`3
 "Jas.`1
 "John!"`1
 "John,"`4
 "John,`3
 "John`1
 "Johnny's`1
 "Keep`1
 "Lads,"`2
 "Left-hander?"`1
 "Let's`1
 "Let`1
 "Listen,`2
 "Listen`2
 "Little`1
 "Long`1
 "Look,`1
 "Look`4
 "Lots`1
 "Lovely,`1
 "Lucky`1
 "Luff,`1
 "Man?"`1
 "Matter!"`1
 "May`2
 "Me!`1
 "Me`1
 "Mermaids!"`1
 "Mermaids!`1
 "Michael!"`1
 "Michael's`1
 "Michael`1
 "Mine,`1
 "Mineral?"`1
 "Most`1
 "Mother!"`3
 "Mother,`1
 "My`8
 "Nana,`1
 "Neither`1
 "Never!"`1
 "Next,`1
 "Nibs`1
 "No!"`3
 "No,"`2
 "No,`19
 "No."`8
 "No.`1
 "No`1
 "None`1
 "Not`5
 "Nothing,`1
 "Now!"`1
 "Now,"`1
 "Now,`2
 "Now`1
 "O`2
 "Odds,`1
 "Of`5
 "Oh!"`2
 "Oh,"`1
 "Oh,`20
 "Oh`12
 "One!"`1
 "Oo!"`6
 "Oo,"`1
 "Ordinary`1
 "Ought`2
 "Our`1
 "Out`1
 "Pan,`1
 "People`1
 "Perhaps`4
 "Peter!"`1
 "Peter,"`5
 "Peter,`3
 "Peter`4
 "Pirates!"`1
 "Pirates,"`1
 "Please,`2
 "Poisoned?`1
 "Poor`1
 "Project`1
 "Proud`1
 "Put`1
 "Quick,`1
 "Quick`1
 "Quiet,"`1
 "Quiet,`2
 "Rather."`1
 "Rather`1
 "Remember`1
 "Roses,"`1
 "Rule`1
 "Save`2
 "Say,`1
 "Second`2
 "See,"`2
 "See,`1
 "Seems`1
 "Set`1
 "Seventeen,"`1
 "Shake`1
 "Shall`3
 "She's`1
 "She`12
 "Shut`2
 "Silence,"`1
 "Sit`1
 "Slightly`1
 "Sneaky`1
 "So,`2
 "So`5
 "Some`1
 "Something!"`1
 "Something`1
 "Sometimes`1
 "Soon`1
 "Spirit`1
 "Stow`1
 "Such`1
 "Suppose,"`1
 "Surely,"`1
 "Surely`1
 "Take`1
 "Tell`1
 "Thank`1
 "That's`5
 "That,"`2
 "That`1
 "The`4
 "Then,"`1
 "Then`1
 "There's`5
 "There,`2
 "There`7
 "They`8
 "Think`1
 "This`1
 "Those`1
 "Tie`1
 "Tink,"`2
 "Tink`1
 "Tinker`1
 "To't`1
 "To`3
 "Tons."`1
 "Tootles,"`1
 "True,`1
 "Tut,`2
 "Two,"`1
 "Vegetable?"`1
 "Very`2
 "Wait`1
 "Watch`1
 "We'll`1
 "We've`2
 "We`1
 "Well,`8
 "Wendy!"`1
 "Wendy,"`4
 "Wendy,`4
 "Wendy`1
 "Were`1
 "What's`5
 "What,"`1
 "What--are--you--quacking--about?"`1
 "What`28
 "Whatever`1
 "Where,`1
 "Where?`1
 "Where`4
 "Which`1
 "White`1
 "Who's`1
 "Who`2
 "Whose`1
 "Why,`1
 "Why`3
 "With`2
 "Won't;`1
 "Won't`1
 "Wonderful`1
 "Would`1
 "Yes!`1
 "Yes,"`6
 "Yes,`20
 "Yes."`14
 "Yes.`1
 "Yo`3
 "You!"`1
 "You're`2
 "You've`1
 "You?`1
 "You`22
 "and`1
 '"First,`1
 '"O`1
 '"THE`1
 '--but`1
 '--then`1
 'A`6
 'Ah,`3
 'All`1
 'And`24
 'Another`1
 'Are`4
 'As`2
 'At`1
 'Because`1
 'Beware`1
 'Blew--me--up,'`1
 'But`24
 'By`1
 'Can't`1
 'Can`2
 'Certainly,'`1
 'Certainly--certainly!'`1
 'Certainly`1
 'Come,`1
 'Come`1
 'Contrariwise,'`2
 'Crabs,`1
 'Crawling`1
 'Dear`1
 'Didn't`3
 'Ditto'`1
 'Ditto,`1
 'Do`7
 'Does--the`1
 'Does`1
 'Don't`5
 'Exactly`1
 'Fan`1
 'Feather!'`1
 'Feather!`1
 'Fiddle-de-dee's`1
 'Fighting`1
 'First`1
 'Five`1
