"'S'death`1
"'See,`1
"'Twas`1
"(1)`1
"(A)`1
"A-SITTING`1
"A`2
"About`2
"After`1
"Ah,`2
"Ah`3
"Aha,`1
"Ahoy`1
"Alice,"`1
"All's`1
"All`3
"Am`1
"And,`2
"And`1
"Animal?"`1
"Are`14
"As`3
"At`2
"Avast,`1
"Avast`1
"Ay,"`6
"Ay,`13
"Ay."`1
"BOROGOVE"`1
"BRILLIG"`1
"Back,`1
"Bad`2
"Barbecue,`1
"Be`1
"Because`2
"Before`1
"Besides,"`2
"Better`2
"Bill`1
"Blackbeard`1
"Boat`2
"Both`1
"Bough-wough!"'`1
"Boy,"`2
"Boy."`1
"Boy?"`1
"Boy`2
"Brimstone`2
"Bring`1
"Build`1
"But,`5
"But`2
"By`1
"Can't`1
"Can`3
"Captain,"`1
"Captain,`3
"Cave,`1
"Cecco,"`1
"Certainly,"`1
"Certainly`2
"Chairs`1
"Check!"`1
"Children,`1
"Claws!"`1
"Cleave`1
"Coddle`1
"Come,"`1
"Come,`2
"Come`3
"Curly,"`1
"Curly`1
"Cut`1
"Dance`1
"Dark`1
"Dash`1
"Dear`2
"Defects,"`1
"Descendants`1
"Did`4
"Dirty`1
"Dive!"`1
"Do`1
"Does`1
"Don't`10
"Down,`1
"Ever`1
"Fame,`1
"Father!"`1
"Father's`1
"Father,`2
"Father`2
"Feather"?'`1
"Fetch`1
"Five."`1
"Fling`1
"Follow`2
"For`2
"Four,"`1
"Free!"`1
"Full`1
"Funny!"`1
"GIMBLE"?'`1
"GIMBLE"`1
"GYRE"`2
"George!"`1
"George,"`1
"George,`3
"Get`1
"Girl."`1
"Go`1
"Good-bye,"`1
"Good-bye,`1
"Good`1
"Great`1
"Greetings,`1
"HADDOCKS'`1
"HERE`1
"HOOK`2
"Had`1
"Hallo,"`1
"Have`4
"He's`1
"He`16
"Help,`1
"Her`1
"Hide`2
"His`1
"Hold`1
"Home,`1
"Hook,"`2
"Hook."`1
"Hook`3
"Hoop`1
"How-do?"`1
"How`3
"Hullo,"`4
"Hullo,`7
"Hush.`1
"I'd`1
"I'll`8
"I'm`11
"I've`1
"I--want--you--"`1
"I--want--you--to--get--into--the--nest,"`1
"I`8
"If`3
"In`4
"Information`1
"Into`1
"Is`1
"It's`2
"It`3
"Jabberwocky"?'`1
"Jas.`1
"John!"`1
"John,"`4
"John,`3
"John`1
"Johnny's`1
"Keep`1
"Lads,"`3
"Lass,`1
"Leave`1
"Left-hander?"`1
"Let's`1
"Let`1
"Listen,`2
"Listen`2
"Lithe"`1
"Little`1
"Long`1
"Look,`1
"Look`6
"Lots`1
"Lovely,`1
"Lucky`1
"Luff,`1
"MIMSY"`1
"MOME"`1
"MOME`1
"Man?"`1
"Mark`1
"Matter!"`1
"May`2
"Me!`1
"Me`1
"Mermaids!"`1
"Mermaids!`1
"Michael!"`1
"Michael's`1
"Michael,`1
"Michael`2
"Mind`1
"Mine,`1
"Mineral?"`1
"Miss!"`1
"Miss,"`1
"Most`1
"Mother!"`3
"Mother,"`1
"Mother,`1
"Much`1
"Mumps`1
"My`9
"Nana,`1
"Neither`1
"Never!"`1
"Next,`1
"Nibs,`1
"Nibs`1
"No!"`3
"No,"`2
"No,`21
"No."`8
"No.`1
"No`1
"Nobody`1
"None`1
"Not`6
"Nothing,`1
"Now!"`1
"Now,"`1
"Now,`2
"Now`1
"OUTGRABE"`1
"OUTGRABING"`1
"O`2
"Odds,`1
"Odds`1
"Of`8
"Oh!"`2
"Oh,"`1
"Oh,`24
"Oh`14
"One!"`1
"Oo!"`6
"Oo,"`1
"Ordinary`1
"Ought`2
"Our`1
"Out`3
"Pan,`1
"People`1
"Perhaps`9
"Peter!"`1
"Peter,"`7
"Peter,`7
"Peter`11
"Pirates!"`1
"Pirates,"`1
"Plain`2
"Please,`2
"Poisoned?`1
"Poor`1
"Project`5
"Proud`1
"Put`2
"Queen,"`1
"Quick,"`1
"Quick,`2
"Quick`1
"Quiet,"`1
"Quiet,`2
"RATH"`1
"Rather."`1
"Rather`1
"Redskin;`2
"Remember`1
"Right`1
"Roses,"`1
"Rule`1
"SLITHY"?'`1
"SLITHY"`1
"Save`2
"Say,`1
"Second`2
"See,"`2
"See,`1
"See`1
"Seems`1
"Set`1
"Seventeen,"`1
"Shake`1
"Shall`3
"She's`1
"She`16
"Shut`2
"Silence,"`1
"Silence`1
"Silly`1
"Sit`1
"Slightly,"`1
"Slightly`1
"Smee,"`2
"Sneaky`1
"So,`2
"So`5
"Some`1
"Something!"`1
"Something`1
"Sometimes`1
"Soon`1
"Spirit`1
"Stand`1
"Starkey's`1
"Stop`1
"Stow`1
"Strike,`1
"Such`1
"Suppose,"`1
"Surely,"`1
"Surely`1
"THE`2
"TOVES"?'`1
"TOVES"`1
"TWEEDLE"`2
"Take`1
"Tell`1
"Thank`1
"That's`1
"That,"`2
"That`1
"The`6
"Then,"`1
"Then`1
"There's`6
"There,`2
"There`9
"These`1
"They`11
"Think`1
"This`1
"Those`1
"Three,"`1
"Tie`1
"Tink,"`2
"Tink,`1
"Tink`1
"Tinker`2
"To't`1
"To`3
"Tons."`1
"Tootles,"`1
"True,`1
"Tut,`2
"Two,"`1
"Unrip`1
"Vegetable?"`1
"Very`2
"WABE,"`1
"WAYS`1
"Wait`1
"Wake`1
"Watch`1
"We'll`1
"We've`2
"We`1
"Well,`9
"Wendy!"`1
"Wendy,"`7
"Wendy,`8
"Wendy`2
"Were`1
"What's`5
"What,"`1
"What--are--you--quacking--about?"`1
"What`36
"Whatever`1
"When`2
"Where,`1
"Where?`1
"Where`6
"Which`1
"White`1
"Who's`1
"Who`2
"Whose`1
"Why,`1
"Why`6
"With`2
"Woman,`1
"Won't;`1
"Won't`1
"Wonderful`1
"Would`3
"Years`1
"Yes!`1
"Yes,"`6
"Yes,`20
"Yes."`15
"Yes.`1
"Yo`3
"You!"`1
"You're`2
"You've`1
"You,`1
"You?`1
"You`1
"a`1
"active."`1
"always`1
"an`1
"and--then--you--can--drift--ashore,`1
"and`1
"are`2
"because`1
"bring`1
"but`10
"captain`1
"cinder"`1
"clap`1
"close`1
"come`1
"could`1
"couldn't`1
"creature"`1
"did`1
"do`1
"don't`1
"dost`1
"draw`1
"drum`1
"e"?'`1
"elle"`1
"exactually,"'`1
"feather"`1
"fetch`1
"fiddle-de-dee"`1
"first`1
"flimsy`1
"footer"`1
"for`2
"from`1
"garden,"--I'VE`1
"give`1
"glory"`1
"glory,"'`1
"go`1
"half-past`1
"have`2
"he`5
"here's`1
"hill,"'`1
"hoarse,"`1
"horse"`1
"how`1
"if"!'`1
"if"--'`1
"if`6
"impenetrability"`1
"is`6
"it's`5
"it`1
"jam`1
"let`3
"lithe`1
"my`1
"no,"`1
"no`2
"nonsense"`1
"not`2
"noticed`1
"now`1
"of`1
"oh,`1
"on`1
"only`1
"or`3
"our`1
"perhaps`2
"please"`1
"prepare`1
"remember`1
"say`1
"see`1
"shall`1
"she`4
"sitting`1
"six`1
"so`1
"strike`1
"take`1
"talking`1
"tea`1
"that's`1
"that`14
"the`9
"there's`1
"there`4
"these`1
"they`2
"this`5
"those`1
"to`5
"tried`1
"wake`1
"was`2
"we`5
"what`2
"when`1
"where`1
"who`1
"why`7
"with`1
"would`1
"yes"`1
"you`1
"your`1
#10000,`2
#12]`1
#16]`1
$5,000)`1
'"First,`1
'"O`1
'"THE`1
'"only`1
'--and`1
'--but`1
'--for`1
'--then`1
'AS-IS'`1
'AS-IS,'`1
'A`7
'Ah,`3
'Ahoy!`2
'Alice--Mutton;`1
'All`3
'Always`1
'Am`1
'An`1
'And`40
'Another`1
'Are`7
'Aren't`1
'As`5
'At`4
'Ay,`1
'Because`1
'Besides,`1
'Better`1
'Beware`1
'Blew--me--up,'`1
'Boy,`1
'Bread-and-butter,`1
'But`28
'By`1
'Can't`1
'Can`7
'Certainly,'`1
'Certainly--certainly!'`1
'Certainly`1
'Change`1
'Come,`2
'Come`1
'Confess`1
'Consider`1
'Contrariwise!'`1
'Contrariwise,'`2
'Crabs,`1
'Crawling`1
'Curtsey`1
'DASH:'`1
'DEE,'`1
'DEE.'`1
'DUM'`1
'DUM.'`1
'Dear`1
'Did`2
'Didn't`3
'Ditto'`1
'Ditto,`1
'Do`12
'Does--the`1
'Does`2
'Don't`6
'Down`1
'Every`2
'Exactly`1
'Fan`1
'Faster!`4
'Feather!'`1
'Feather!`1
'Feather,`1
'Fiddle-de-dee's`1
'Fighting`1
'First`2
'Five`2
'Fivepence`1
'For`1
'Four`2
'Frumenty`1
'Further`1
'Go`1
'Good-bye!'`1
'Good-bye,`1
'Good-bye.'`1
'Good-night'`1
'Half-past`1
'Hand`1
'Have`3
'Hay,`1
'He's`3
'He`5
'Her`3
'Here`3
'Hold`1
'How`10
'However,`2
'Humpty`2
'Hush!`1
'Hush-a-by`1
'I'd`2
'I'll`13
'I'm`30
'I've`8
'I--I`1
'IF`1
'I`155
'If`18
'Imperial`1
'In`10
'Indeed?'`1
'Indeed`2
'Is`7
'Isn't`1
'It'll`2
'It's`35
'It`27
'Just`1
'Kitty,`1
'L,`1
'Lessons`1
'Let's`5
'Living`1
'Look,`1
'Look`1
'MUST`1
'MY`1
'Make`1
'Manners`1
'May`2
'Meanwhile,`1
'Mind`2
'Much`2
'My`5
'NOW`1
'Nearly`1
'Never`2
'Next`1
'Nine`1
'Ninety`1
'No,'`1
'No,`8
'No`3
'Nobody,'`1
'Nobody`2
'Nohow!'`1
'Nohow.`1
'None`3
'Not`6
'Nothing!'`1
'Nothing,`1
'Now!`1
'Now,`4
'Now`7
'Nurse!`1
'ONE`1
'O`1
'Of`11
'Oh!'`2
'Oh!`1
'Oh,`14
'One.'`1
'One`1
'Only`5
'Open`1
'Or`3
'Perhaps`1
'Please,`2
'Please`1
'Plenty`2
'Poor`2
'Pretty`1
'Principal`1
'Pudding--Alice;`1
'Put`2
'Queens`1
'Quick!`1
'Quite`1
'Really,`1
'Ridiculous!'`1
'Sap`1
'Selfish`1
'Servants'`1
'Seven`2
'She'll`2
'She's`8
'She`12
'Shouldn't`1
'Silence,`1
'Sit`1
'Smooth`1
'Snowdrop,`1
'So`8
'Some`1
'Somehow`1
'Something's`1
'Something`1
'Speak,`2
'Speak`2
'Suppose`1
'Supposing`1
'THE`2
'THIS`1
'TO`2
'Take`3
'Talk,`1
'Tell`1
'Ten`1
'Thank`4
'That'll`1
'That's`17
'That`11
'The`25
'Then`19
'There's`10
'There`6
'They'd`1
'They're`2
'They've`1
'They`7
'Things`1
'Think`1
'Thirst`1
'Thirty`1
'This`3
'Three`2
'Tickets,`1
'Tis`2
'To`9
'Too`1
'Try`1
'Twas`3
'Tweedledum`1
'Twopence`1
'Very`2
'Vexes`1
'Visitors'`1
'WHY`1
'Wait`1
'Waiter!`1
'Ware`1
'Was`1
'We'd`1
'We`5
'Weak`1
'Well!`1
'Well,`22
'Well--yes--a`1
'Were`1
'What's`5
'What,`1
'What--is--this?'`1
'What`30
'When`6
'Where's`1
'Where`4
'Which`2
'While`1
'Who`3
'Why,`10
'Why`5
'Would`4
'Wrong!'`1
'Wrong,`1
'Ye-es,`1
'Yes,'`1
'Yes,`9
'You'd`2
'You'll`3
'You're`6
'You've`4
'You`42
'Your`3
'_I_`3
'a`3
'about`1
'after`1
'all`1
'also`1
'and,`2
'and`25
'at`1
'because`4
'being`1
'better,'`1
'bread-and-butter,`1
'but--'`1
'but`25
'cos`1
'down`1
'each`1
'em,'`1
'em`4
'fair`1
'for`2
'go`1
'good-bye,'`1
'half`1
'have`1
'he`1
