"'A`1
"'About`1
"'Absolute`1
"'Ah!'`2
"'Ah,`2
"'Ample.'`1
"'And`10
"'Arthur!'`1
"'As`1
"'At`1
"'Because`1
"'Breckinridge,`1
"'But,'`1
"'But,`1
"'But`1
"'Certainly,'`1
"'Certainly`2
"'Come!`1
"'Come,`1
"'DEAR`1
"'Dear`2
"'Dearest`1
"'Death,'`1
"'December`1
"'Do`3
"'Don't`1
"'Entirely.'`1
"'For`1
"'Fritz!`1
"'From`1
"'Gone`1
"'Hampshire.`1
"'Have`1
"'Here`1
"'How`2
"'I`22
"'If`2
"'In`2
"'Is`3
"'It's`1
"'It`7
"'Jephro,'`1
"'Keep`1
"'Ku`1
"'L'homme`1
"'Look`2
"'Lord`1
"'MY`2
"'May`1
"'Most`1
"'Mr.`2
"'My`4
"'Never,'`1
"'Never.'`1
"'Never`1
"'Next`1
"'No,'`1
"'No,`9
"'No`2
"'Not`2
"'Oct.`1
"'Oh,'`2
"'Oh,`11
"'On`1
"'One`2
"'Only`1
"'Or`2
"'Perhaps`1
"'Photography`1
"'Pon`1
"'Pooh!'`1
"'Precisely.'`1
"'Precisely`1
"'Put`1
"'Quite`3
"'She`1
"'So,'`1
"'Sold`1
"'Some`2
"'Stolen!'`1
"'Surely`1
"'Tell`3
"'Ten`1
"'Thank`2
"'That's`1
"'That`6
"'The`9
"'Then,`2
"'Then`4
"'There`3
"'They`1
"'This`2
"'Tis`3
"'To`1
"'Tut,`1
"'Undoubtedly`1
"'Very`4
"'We`2
"'Well,'`3
"'Well,`7
"'What,`2
"'What`6
"'Whatever`1
"'Where`4
"'Which`1
"'Why,'`1
"'Why,`4
"'Why`2
"'Yes,`10
"'Yes.'`1
"'You`12
"-jum!"`1
"10th.`1
"12th.`1
"4th.`1
"7th.`1
"9th.`1
"ARAT,"`1
"A`22
"About`2
"Absolutely?"`1
"Absolutely`1
"After`1
"Ah!"`2
"Ah!`4
"Ah,"`2
"Ah,`13
"Ah`1
"Alas!"`1
"Alas!`1
"Alice`1
"All`4
"Always."`1
"American`1
"Ample."`1
"An`3
"And,`1
"And`99
"Anyhow,`1
"Anything`1
"Are`2
"Arthur`1
"As`9
"At`8
"Awake,`1
"Away`2
"Ay,`1
"BALLARAT."`1
"Be`1
"Because`5
"Before`1
"Besides,`1
"Better`1
"Between`1
"Beyond`1
"Boscombe`1
"Both`1
"Bought."`1
"Breckinridge`1
"Bring`1
"But,`1
"But`72
"By`9
"Can`1
"Candle-ends,"`1
"Capital!`1
"Captain`1
"Certainly,"`1
"Certainly,`4
"Certainly."`4
"Certainly.`1
"Circumstantial`1
"Coarse`1
"Colonel`1
"Come,"`1
"Come,`1
"Come`3
"Coming`1
"Convinced`1
"Cooee!"`1
"Could`1
"D'you`1
"DEAR`1
"Danger!`1
"Dark`1
"Data!`1
"Defects,"`1
"Deserted`1
"Did`6
"Dirty?"`1
"Do`15
"Done`1
"Dr.`1
"Dunce.")`1
"E"`1
"Eglow,`1
"Eh?`2
"Eight`1
"Encyclopaedia"`1
"Encyclopaedia`1
"Entirely."`2
"Evidently,"`1
"Exactly`1
"Excellent!`2
"Excellent.`2
"Except`1
"Excuse`2
"Experience,"`1
"Extremely`1
"Fancy`1
"Farewell,`1
"Farintosh,"`1
"Fine`1
"Fire!"`2
"Five`1
"For,`1
"For`3
"Frank`1
"Frankly,`2
"Frequently."`1
"Friends,`1
"Fritter`1
"From`5
"Fry`1
"Fudge!"`1
"G"`1
"GUILTY!"`1
"Game`1
"Get`2
"Give`2
"God`6
"Good-day,`1
"Good-evening,`1
"Good-evening.`1
"Good-morning,`1
"Good-night,`1
"Good`7
"Grave`1
"Great`1
"H.`1
"Ha!"`2
