"'Why,`1
"A`6
"About`1
"Achmet-din-Taieb,`1
"Ah,"`1
"Ah,`5
"Ain't`1
"Alas,`1
"Alexis`1
"Ali-ben-Ahmed`1
"All`3
"Allah`2
"Am`1
"And`40
"Are`5
"Arise,`1
"As`3
"Ask`1
"At`2
"Aye,`1
"Bah!"`1
"Better`1
"Bully`1
"But,`1
"But`22
"By`3
"Can't`1
"Can`1
"Certainly,`1
"Civilized`1
"Coal`1
"Come!"`4
"Come,`6
"Come`3
"De`2
"Dead!"`1
"Defects,"`1
"Did`3
"Do`18
"Don't,`1
"Don't`1
"Doubtless,"`1
"Down`1
"EL`3
"Eh?"`1
"El`2
"Enter,"`1
"Enter,`1
"Er--was`1
"Especially`1
"Even`1
"Everything`1
"Fetch`1
"Find`1
"For`5
"Forgive`1
"Forty-one`1
"Francois?`1
"Francois`1
"From`5
"Gentlemen,"`2
"Gentlemen,`1
"Get`1
"Go!"`1
"God!"`2
"God`2
"Going`1
"Good!"`3
"Good!`1
"Good-bye,"`1
"Good-bye,`1
"Guide`1
"Guns!"`1
"Had`3
"Half`1
"Halt,"`1
"Have`4
"Hazel`1
"He'd`1
"He`30
"Heavens,`1
"Help,`1
"Her`1
"Here,"`1
"Here,`1
"Here`3
"His`2
"Hold`1
"How`9
"Hssh!"`1
"I'll`2
"I,"`1
"I,`1
"I`180
"If`16
"In`9
"Indeed!"`1
"Indeed?"`1
"Information`1
"Is`2
"It's`3
"It`52
"Jane!"`2
"Jane,"`1
"Jane`1
"Jean!"`1
"John`2
"Jungle`1
"Just`2
"Kadour`1
"Karnath,`1
"Kill`2
"Ladies,`1
"Lady`2
"Land,`1
"Leave`2
"Lend`1
"Let`8
"Listen."`1
"Look!"`2
"Look,"`1
"Look,`1
"Look`1
"Lost`1
"MAGNIFIQUE!"`1
"MON`4
"Magnifique!"`1
"Make`3
"Man,"`1
"Man`1
"Many`1
"May`1
"Mercy,`2
"Miss`1
"Monsieur`11
"Most`3
"Mother`2
"Mr.`1
"My`7
"Name`2
"Never,"`1
"Never,`1
"Never."`1
"Never`1
"Nevertheless,"`1
"Nikolas!"`2
"No,"`5
"No,`10
"No`1
"None`1
"Nor`5
"Not`4
"Nothing,"`1
"Nothing,`1
"Nothing`2
"Now,"`1
"Now`6
"Numa`1
"Of`1
"Oh,`10
"Olga,"`2
"Olga,`1
"Olga`1
"On`1
"Once`1
"One`4
"Only`2
"Opar,"`1
"Opar,`1
"Or`2
"Our`1
"Pardon,"`1
"Pardon`1
"Paris`2
"Pass`1
"Paul!"`1
"Permit`1
"Pig,`1
"Pistols,"`1
"Plain`2
"Please`3
"Pooh,`1
"Possibly`2
"Project`5
"Quick!"`1
"Quick!`1
"Quick,`1
"Quickly!`1
"Quite,"`1
"Raised`1
"Rather`1
"Right`1
"Rokoff,`1
"Rokoff`1
"Run!`1
"Run,`2
"Run`1
"SAPRISTI!"`3
"SAPRISTI!`2
"Save`1
"See`2
"Send`1
"She`1
"Shut`1
"Since`2
"Sit`1
"Sleep`1
"So`3
"Some`2
"Soon`1
"Stop!"`3
"Stop!`1
"Summon`1
"Take`1
"Tarzan`2
"Tell`2
"Thank`6
"That's`1
"That`6
"The`32
"Then,"`1
"Then`14
"There,`1
"There`18
"These`1
